NU_ANO_CENSO;NO_REGIAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2015;Norte;11;RO;1100288;Rolim de Moura;Urbana;Pública;20.4;35.4
2015;Norte;11;RO;1100288;Rolim de Moura;Rural;Total;28.6;--
2015;Norte;11;RO;1100288;Rolim de Moura;Rural;Municipal;28.6;--
2015;Norte;11;RO;1100288;Rolim de Moura;Rural;Pública;28.6;--
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Total;Total;18;25.4
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Total;Estadual;27.3;25.4
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Total;Municipal;13;--
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Total;Pública;18;25.4
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Urbana;Total;18.6;25.4
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Urbana;Estadual;27.3;25.4
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Urbana;Municipal;13.1;--
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Urbana;Pública;18.6;25.4
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Rural;Total;12.4;--
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Rural;Municipal;12.4;--
2015;Norte;11;RO;1100296;Santa Luzia D'Oeste;Rural;Pública;12.4;--
2015;Norte;11;RO;1100304;Vilhena;Total;Total;14.3;26.2
2015;Norte;11;RO;1100304;Vilhena;Total;Federal;--;10.6
2015;Norte;11;RO;1100304;Vilhena;Total;Estadual;21.4;31.9
2015;Norte;11;RO;1100304;Vilhena;Total;Municipal;10.9;--
2015;Norte;11;RO;1100304;Vilhena;Total;Privada;1.9;6.4
2015;Norte;11;RO;1100304;Vilhena;Total;Pública;15.6;28.6
2015;Norte;11;RO;1100304;Vilhena;Urbana;Total;14.2;26.1
2015;Norte;11;RO;1100304;Vilhena;Urbana;Federal;--;10.6
2015;Norte;11;RO;1100304;Vilhena;Urbana;Estadual;21.4;31.8
2015;Norte;11;RO;1100304;Vilhena;Urbana;Municipal;10.3;--
2015;Norte;11;RO;1100304;Vilhena;Urbana;Privada;1.9;6.4
2015;Norte;11;RO;1100304;Vilhena;Urbana;Pública;15.5;28.5
2015;Norte;11;RO;1100304;Vilhena;Rural;Total;17.4;63.6
2015;Norte;11;RO;1100304;Vilhena;Rural;Estadual;16;63.6
2015;Norte;11;RO;1100304;Vilhena;Rural;Municipal;17.4;--
2015;Norte;11;RO;1100304;Vilhena;Rural;Pública;17.4;63.6
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Total;Total;17.8;28.1
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Total;Estadual;21.9;28.1
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Total;Municipal;16.7;--
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Total;Privada;3.8;--
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Total;Pública;18;28.1
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Urbana;Total;17.3;28.1
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Urbana;Estadual;21.9;28.1
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Urbana;Municipal;13.9;--
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Urbana;Privada;3.8;--
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Urbana;Pública;17.6;28.1
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Rural;Total;18.5;--
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Rural;Municipal;18.5;--
2015;Norte;11;RO;1100320;São Miguel do Guaporé;Rural;Pública;18.5;--
2015;Norte;11;RO;1100338;Nova Mamoré;Total;Total;30;33.9
2015;Norte;11;RO;1100338;Nova Mamoré;Total;Estadual;33.9;33.9
2015;Norte;11;RO;1100338;Nova Mamoré;Total;Municipal;29;--
2015;Norte;11;RO;1100338;Nova Mamoré;Total;Privada;3.4;--
2015;Norte;11;RO;1100338;Nova Mamoré;Total;Pública;30.7;33.9
2015;Norte;11;RO;1100338;Nova Mamoré;Urbana;Total;28.2;34
2015;Norte;11;RO;1100338;Nova Mamoré;Urbana;Estadual;28.5;34
2015;Norte;11;RO;1100338;Nova Mamoré;Urbana;Municipal;32.2;--
2015;Norte;11;RO;1100338;Nova Mamoré;Urbana;Privada;3.4;--
2015;Norte;11;RO;1100338;Nova Mamoré;Urbana;Pública;30;34
2015;Norte;11;RO;1100338;Nova Mamoré;Rural;Total;31.2;33.8
2015;Norte;11;RO;1100338;Nova Mamoré;Rural;Estadual;42.9;33.8
2015;Norte;11;RO;1100338;Nova Mamoré;Rural;Municipal;27.9;--
2015;Norte;11;RO;1100338;Nova Mamoré;Rural;Pública;31.2;33.8
2015;Norte;11;RO;1100346;Alvorada D'Oeste;Total;Total;21.1;23.4
2015;Norte;11;RO;1100346;Alvorada D'Oeste;Total;Estadual;20.4;23.4
2015;Norte;11;RO;1100346;Alvorada D'Oeste;Total;Municipal;21.8;--
2015;Norte;11;RO;1100346;Alvorada D'Oeste;Total;Pública;21.1;23.4
2015;Norte;11;RO;1100346;Alvorada D'Oeste;Urbana;Total;20.3;23.4
2015;Norte;11;RO;1100346;Alvorada D'Oeste;Urbana;Estadual;20.4;23.4
