CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021
2408003;6151752;6229278;5994319;5818423;6167477;6734570;7305492;7201163;8071762
2408102;18465101;19100605;20591133;21861053;23458658;23372340;24139377;22675071;24186262
2408201;268034;295976;329124;338527;356995;430498;434224;441616;474722
2408300;325213;358996;411902;446884;462046;456380;474435;535376;560501
2408409;30728;32638;33558;33690;34520;37918;49447;50337;47533
2408508;35116;39058;41756;43195;47201;49475;53932;54573;61704
2408607;26033;28001;29768;29467;33023;33607;37730;39913;43932
2408706;32224;31599;32554;34090;40709;42766;47123;50964;55258
2408805;196674;204263;225963;322451;423165;409064;333657;401112;606241
2408904;227210;232717;310961;300894;322338;329474;343218;345838;368927
2408953;91656;114684;109857;110182;170511;168965;164958;173324;185593
2409100;79876;85785;99166;94217;107594;111693;127788;135760;152324
2409209;23983;24721;26495;29576;30554;34907;35343;37184;46129
2409308;90793;94459;106214;106464;129588;144581;149507;160280;160914
2409332;45819;52208;57947;49237;65390;53407;68313;67864;78032
2409407;338782;362903;404786;429044;493223;527652;613781;629869;709333
2409506;39847;36803;148360;180628;206954;214414;222294;322712;293285
2409605;19116;20429;23007;23834;24973;28263;30189;31071;36128
2409704;42118;45221;49782;51489;54327;58018;64932;69771;79996
2409803;90164;101647;109705;117495;123266;130815;150079;163672;173619
2409902;369347;324726;279824;224128;284538;465026;505195;476145;757494
2410009;25246;29870;32006;32865;35075;35012;35940;41533;41829
2410108;82757;89516;93298;96626;107190;106065;117504;131628;131862
2410207;46087;47547;53194;53888;59757;65663;69679;70515;78934
2410256;249993;207416;123185;83444;117667;154660;153761;126576;149473
2410306;55984;59477;66639;71644;77804;79916;89545;100669;109308
2410405;65568;61877;70626;79489;127852;120962;127799;138750;169430
2410504;31341;32938;37580;39365;40514;45575;52651;50066;53271
2410603;21466;22284;23645;26685;28890;32717;36459;39073;43451
2410702;22154;24034;26267;27888;30481;31466;34419;35809;37508
2410801;26933;30231;29814;30152;31380;36014;39616;41117;43514
2410900;49977;52351;55890;60695;64291;65991;71128;89948;192158
2411007;29071;30641;33940;35430;39998;45252;48938;52583;59194
2411056;56103;62916;86357;73744;79956;98723;107940;109446;115024
2411106;23985;25737;27935;30443;29806;32109;35845;39772;126773
2411205;342496;384089;414406;461489;562261;502049;550074;583899;619042
2411403;99175;141618;121012;113283;124274;129756;137523;145540;147040
2411429;30715;31735;33381;37369;38557;38289;37313;35073;36354
2411502;162643;169983;191327;209087;216175;250621;271645;293342;302537
2411601;38139;43736;76519;105101;196460;158935;365438;418182;549243
2411700;26135;27747;30359;33445;34817;37290;42249;44513;45624
2411809;38860;43172;49903;47436;48863;46657;52976;55435;63598
2411908;28506;30203;32413;43755;38685;46231;50054;50707;54448
2412005;1560568;1664023;1731788;1342598;1414685;1582092;1895671;1744638;1905023
2412104;44404;46911;51820;51472;56257;62127;72974;77797;84586
2412203;606617;649068;681596;654217;762501;853715;885208;940688;1040964
2412302;66993;77125;83629;89745;94086;99130;108085;116230;125093
2412401;48960;54568;62411;72521;101471;89306;84542;79027;83855
2412500;159930;180831;192239;207744;218349;241701;258995;277712;319744
2412559;66706;87337;159211;318957;419572;280672;299031;368803;492640
2412609;127173;125611;139811;147512;162670;191576;209127;219980;231555
2412708;44482;47151;52084;53919;58984;49970;53429;52646;55801
2412807;58737;58580;65909;66458;70221;76170;81362;85177;88676
2412906;69262;71929;80223;85948;90449;97320;100881;105842;111776
2413003;42956;43300;50677;59643;62950;67894;69954;71371;76922
2413102;33310;35489;38402;41354;43396;47883;53090;54071;60476
2413201;72925;80064;90488;99012;102989;126628;120330;116848;116487
2413300;31080;33400;37160;39823;45007;46294;51173;51240;57411
2413359;119733;120690;108622;148846;306571;254557;303363;617353;858724
2413409;59261;64358;71203;75779;73353;83465;95592;98846;118876
2413508;44749;47739;50790;49552;54688;57749;64213;66698;71899
2413557;28095;31247;34040;34777;37323;39951;43736;46709;49787
2413607;40449;40981;38560;38504;41443;45372;52995;59150;63100
2413706;31075;32615;37255;39324;42034;43293;47709;48415;53784
2413805;19318;20572;21200;23390;25076;26357;28278;30067;32473
2413904;111438;101443;101084;106528;120768;114950;127011;136398;155199
2414001;107650;112045;120137;133264;137350;171900;185503;192122;201785
2414100;68562;72424;76051;76639;83173;91483;104254;107122;113588
2414159;38540;39421;53401;56382;94070;84549;92226;102889;107286
2414209;223628;258278;265087;287147;305228;373020;418587;397610;415833
2414308;21011;23273;26464;28279;30008;29768;33885;34565;43618
2414407;310227;354624;398534;407063;676606;517008;534519;610444;814845
2414456;31533;32772;40698;38454;41115;38062;38833;38496;45831
2414506;95541;100921;108764;114926;129502;127163;136171;140766;151207
2414605;158405;163066;139912;119520;142009;186310;175253;179061;214155
2414704;34167;34837;36901;38713;41813;48135;52049;55578;56556
2414753;24455;27826;30398;31180;35657;34629;38133;40803;43203
2414803;76841;83597;94176;97299;106737;108847;117249;122385;133471
2414902;12021;13484;14761;14978;15769;17668;20700;21256;23239
2415008;26248;27385;31124;30460;36889;39799;43059;44401;44404
2500106;54926;64603;70799;75099;77222;79901;82544;86556;92036
2500205;35153;37811;39795;44336;47394;46221;50141;55808;60096
2500304;195412;211284;225941;239625;266622;256890;276069;281480;300116
2500403;237754;223175;257150;250824;225945;287713;325790;331770;335056
2500502;71854;83955;91454;99535;108721;109852;114818;122810;138510
2500536;31086;35400;37136;38939;42305;42363;43762;47931;55097
2500577;18500;21068;22968;23138;25919;25659;26862;26072;28629
2500601;599945;714745;769657;862870;1110449;1704814;1887486;2216316;3399775
2500700;127291;139262;153960;168174;171752;185444;190655;210505;225531
2500734;16150;17052;20452;21776;24393;25508;26162;27750;29433
2500775;53873;64005;70396;72511;72219;77956;85300;89771;105226
2500809;116303;125860;137108;141696;167593;155362;162870;170228;185877
2500908;72036;78098;85473;90190;98835;100899;105690;107020;112308
2501005;116358;128445;140410;154852;165493;165478;172769;185759;204298
2501104;164224;183448;193888;207746;232703;234367;228778;243317;257222
2501153;13103;14515;15200;17102;18678;19976;20538;22129;26095
2501203;40094;46068;50277;51070;52057;52167;54729;60493;62578
2501302;106980;116833;130727;137080;141195;153209;145996;150935;167985
2501351;25626;28695;31497;34961;36966;37404;39255;42999;48498
2501401;59113;67152;70977;77383;79806;85945;88851;94183;107854
2501500;165214;173428;198178;228549;232450;238643;236497;249051;278904
2501534;27644;31128;34622;37115;40503;41903;44410;46873;49784
2501575;46513;52565;62782;59930;63431;73460;77379;81033;90801
2501609;96562;103067;107755;114036;127545;127061;134229;138437;150845
2501708;35012;38683;40645;44710;46564;59063;65331;72193;84815
2501807;935970;1080212;1086768;1225858;1356045;1338140;1388145;1291606;1366842
2501906;122209;135671;148363;154241;170525;181127;189864;204353;218067
2502003;43466;50798;55273;59225;64521;65860;68207;70188;78557
2502052;19890;24461;26097;29139;31613;33267;36158;37576;40037
2502102;30312;34682;38285;38868;41912;43454;44105;45561;51615
2502151;117910;109678;121272;126091;126851;156071;145468;173207;206387
2502201;18220;20041;23556;25327;26206;27278;29363;30186;32051
2502300;29803;32961;34905;37947;41481;41660;44332;47849;54513
2502409;67990;78439;81485;84514;95009;91431;94660;94884;96549
2502508;137186;155419;167891;171186;185220;205675;216451;232197;256636
2502607;40189;45457;47212;50448;51205;53674;55214;57595;60774
2502706;46719;48780;52560;60366;62146;59399;58351;62513;69205
2502805;84041;96031;104158;112823;122278;125107;128265;133695;147154
2502904;40305;43591;46458;47912;51655;53817;54999;57625;64311
2503001;390225;400230;355038;306428;322159;331124;364269;475370;467127
2503100;35069;38328;43621;46646;48285;56687;58506;67973;116487
2503209;2030250;2292668;2414214;2482532;2895697;2732464;2921992;2741069;3152546
2503308;78532;91900;103581;101089;109479;111254;112016;114596;124811
2503407;23811;28003;28216;29217;33111;33970;34861;36585;39106
2503506;91236;101006;106008;114941;123894;128195;133639;141380;154036
2503555;36349;42070;44565;49360;47318;54319;57175;61659;67103
2503605;50499;55627;55963;57420;59333;57476;59261;63863;65661
2503704;770339;904648;949025;1039264;1096133;1064232;1128058;1134929;1231740
2503753;24038;25367;25532;27486;30468;32677;35384;37245;42009
2503803;46359;48117;60939;63552;65966;66658;65813;69229;74706
2503902;38818;47015;52080;57267;59381;62808;59950;65448;71642
2504009;6574105;7535111;7956060;8373970;8650089;9152679;9507632;10077160;10373107
