CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2013;PERCENTUAL_FAMILIAS_PBF_2014;PERCENTUAL_FAMILIAS_PBF_2015;PERCENTUAL_FAMILIAS_PBF_2016;PERCENTUAL_FAMILIAS_PBF_2017;PERCENTUAL_FAMILIAS_PBF_2018;PERCENTUAL_FAMILIAS_PBF_2019;PERCENTUAL_FAMILIAS_PBF_2020;PERCENTUAL_FAMILIAS_PBF_2021
3111606;313656;366688;346776;482627;477305;474546;466175;634855;704550;0.06969;0.0649;0.05952;0.05285;0.04302;0.04007;0.0351;0.04348;0.04746
3111705;41896;45908;48392;56974;67042;60135;59885;71277;77460;0.08649;0.08176;0.07978;0.07501;0.07789;0.09063;0.09051;0.09433;0.09685
3111804;286828;282164;256018;329104;346698;344774;429392;555362;678012;0.03005;0.03131;0.03149;0.02951;0.03285;0.03526;0.0316;0.03467;0.03665
3111903;54757;55323;61276;67949;62940;64486;64929;70639;80138;0.07946;0.0725;0.06624;0.06817;0.07062;0.06932;0.05836;0.06257;0.06697
3112000;189994;207219;229588;306738;260665;247320;254235;299746;371149;0.05688;0.05561;0.04838;0.03662;0.034;0.03743;0.03614;0.0444;0.05071
3112059;35604;38320;43112;47139;45094;42492;48878;50535;56761;0.11167;0.11519;0.11022;0.10421;0.10272;0.09493;0.09171;0.09646;0.10208
3112109;51146;56326;67235;92575;71747;70538;61963;90471;97624;0.11392;0.11408;0.11991;0.11988;0.12443;0.12813;0.11346;0.12108;0.11731
3112208;35451;38205;42730;46746;48530;48544;51996;56570;62476;0.08148;0.08271;0.08104;0.06957;0.07014;0.07725;0.07544;0.08632;0.09619
3112307;414891;505973;504937;543466;605937;646026;718949;735813;888063;0.11067;0.11377;0.10142;0.08754;0.07613;0.07233;0.06852;0.07573;0.08277
3112406;79966;94494;94831;124055;118009;139252;123966;162184;207280;0.06674;0.06858;0.05929;0.05706;0.0604;0.0653;0.05318;0.05791;0.06516
3112505;86107;76436;76504;79617;86156;89125;101230;97193;123379;0.03805;0.03255;0.03324;0.03351;0.03565;0.03761;0.03332;0.03898;0.04729
3112604;281591;246030;301416;342117;381991;411722;373816;513056;666601;0.04993;0.05019;0.05015;0.04832;0.05015;0.04476;0.04279;0.04836;0.04652
3112653;34638;38800;43644;44682;43990;47469;49715;55547;60813;0.12909;0.13871;0.12846;0.12085;0.11452;0.12085;0.11156;0.11425;0.11261
3112703;253037;248693;216704;248673;254155;309373;342132;360779;501518;0.1322;0.13259;0.1352;0.13743;0.13395;0.12512;0.1154;0.1212;0.11892
3112802;159913;179333;187920;201733;207973;250483;276991;284070;328449;0.03925;0.03907;0.03472;0.02983;0.02292;0.02116;0.01587;0.01801;0.01668
3112901;62019;76905;80401;84469;74536;80146;76347;107563;143751;0.14793;0.15484;0.14661;0.13334;0.13434;0.13147;0.12368;0.12946;0.13318
3113008;115781;128846;139432;150292;152314;154618;174016;193888;210428;0.13552;0.12793;0.12167;0.11825;0.12367;0.12478;0.12029;0.12607;0.13367
3113107;25407;25255;28108;32409;31360;32181;33116;36784;41483;0.08171;0.08288;0.08466;0.07736;0.07578;0.07906;0.08294;0.09223;0.10413
3113206;488824;539983;508779;562975;498590;476974;527575;686993;751899;0.08116;0.0802;0.07048;0.06207;0.05773;0.05654;0.05204;0.0575;0.065
3113305;372649;410487;476480;505803;516700;533667;561806;590250;639260;0.07162;0.07366;0.07217;0.06717;0.07023;0.07018;0.0653;0.07201;0.07086
3113404;1184311;1312467;1395690;1527763;1609020;1703535;1840854;2015377;2283288;0.06909;0.06576;0.0641;0.05535;0.04629;0.04018;0.03619;0.04158;0.04423
3113503;77537;146904;160809;95368;128350;165067;163747;192589;220682;0.11281;0.10562;0.1075;0.10036;0.09535;0.09387;0.08825;0.09762;0.11164
3113602;87081;111166;126345;139283;148835;140217;150190;149242;174197;0.06375;0.06727;0.06284;0.05758;0.05535;0.05401;0.05076;0.05565;0.05567
3113701;294524;323814;328316;356377;320098;337233;364801;473160;474792;0.09444;0.09094;0.09619;0.08627;0.09646;0.10586;0.10262;0.11615;0.11941
3113800;22465;24101;25395;25675;27820;28996;33283;34723;39788;0.07908;0.06811;0.07692;0.07495;0.06885;0.06381;0.05205;0.05064;0.05677
3113909;151161;197807;204305;238317;223823;223256;195351;248574;321643;0.07682;0.07543;0.06657;0.05979;0.07053;0.06983;0.06179;0.05984;0.05946
3114006;141292;158462;163831;163786;169381;182252;186095;189951;265730;0.05157;0.05294;0.05072;0.04853;0.04594;0.04196;0.0366;0.04005;0.04478
3114105;135398;167857;181433;195547;184488;196978;218015;217946;290443;0.07307;0.07704;0.07224;0.06881;0.05674;0.05586;0.05169;0.05747;0.06207
3114204;300842;354500;356066;384097;418407;408058;467370;517553;629040;0.03456;0.03118;0.02834;0.01741;0.01409;0.01559;0.01321;0.01661;0.01996
3114303;456638;550810;585494;698657;737330;721619;740056;857459;1060224;0.03965;0.03673;0.0321;0.03144;0.02738;0.03044;0.02984;0.03659;0.04328
3114402;300334;341183;367610;443901;450819;474341;510971;582134;694617;0.04107;0.03944;0.03763;0.03762;0.03519;0.03872;0.03623;0.04138;0.04533
3114501;309821;345138;366164;380841;365497;413473;408461;408223;461604;0.04905;0.03606;0.03872;0.03386;0.03043;0.03019;0.02707;0.03006;0.03133
3114550;237915;252138;260702;304980;318520;318439;303807;373970;407481;0.0546;0.05222;0.04316;0.03081;0.02859;0.03265;0.02802;0.03249;0.03474
3114600;52103;65503;65447;74015;78299;83533;122288;112041;177651;0.04852;0.05038;0.04565;0.04631;0.04501;0.04006;0.03608;0.03803;0.03776
3114709;35546;42667;47779;55622;50796;46526;47469;58832;71387;0.05968;0.05251;0.05361;0.04322;0.0377;0.03736;0.03018;0.03253;0.03486
3114808;44027;44332;46768;50268;55428;58419;64081;69900;80638;0.0989;0.10362;0.1144;0.11005;0.10331;0.17709;0.10697;0.115;0.11451
3114907;28644;30734;30337;36415;60398;44138;47961;55406;69241;0.05462;0.05069;0.05069;0.04721;0.04244;0.04558;0.04209;0.04614;0.0462
3115003;53982;51044;48542;59772;50256;51234;60796;68273;80004;0.04401;0.04374;0.04215;0.04354;0.05177;0.05692;0.04943;0.04819;0.04633
3115102;248606;285046;288369;347067;317613;326650;337747;386646;436435;0.05265;0.04858;0.04663;0.04441;0.04702;0.05344;0.04961;0.04752;0.04633
3115201;34164;37842;39996;46614;45773;45917;50973;59515;68733;0.08159;0.08508;0.08512;0.08465;0.08519;0.08102;0.07967;0.0887;0.08682
3115300;1262652;1354568;1414573;1484019;1580177;1543377;1662410;1545748;1651609;0.05293;0.04942;0.04792;0.04138;0.03363;0.03075;0.02653;0.03169;0.03246
3115359;461929;455797;274995;275019;610488;420006;1103400;1093868;5032358;0.04965;0.03974;0.03576;0.03508;0.03593;0.03771;0.03478;0.04169;0.04629
3115409;24339;27775;28254;26604;35717;35071;35339;37386;40793;0.12029;0.12062;0.1116;0.10131;0.09056;0.08708;0.08185;0.08815;0.09823
