NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_MEDIA_TOTAL_ALUNOS_SALA;FUN_MEDIA_TOTAL_ALUNOS_SALA;MED_MEDIA_TOTAL_ALUNOS_SALA
2018;Norte;RO;1100320;São Miguel do Guaporé;Rural;Municipal;4;4;
2018;Norte;RO;1100320;São Miguel do Guaporé;Total;Privada;4.5;4.6;
2018;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Privada;4.5;4.6;
2018;Norte;RO;1100320;São Miguel do Guaporé;Total;Pública;4.1;4;4
2018;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Pública;4.1;4;4
2018;Norte;RO;1100320;São Miguel do Guaporé;Rural;Pública;4;4;
2018;Norte;RO;1100338;Nova Mamoré;Total;Total;4.5;4.2;4.1
2018;Norte;RO;1100338;Nova Mamoré;Urbana;Total;5;4.3;4.2
2018;Norte;RO;1100338;Nova Mamoré;Rural;Total;4.1;4.2;4.1
2018;Norte;RO;1100338;Nova Mamoré;Total;Estadual;;4.2;4.1
2018;Norte;RO;1100338;Nova Mamoré;Urbana;Estadual;;4.3;4.2
2018;Norte;RO;1100338;Nova Mamoré;Rural;Estadual;;4.1;4.1
2018;Norte;RO;1100338;Nova Mamoré;Total;Municipal;4.6;4.2;
2018;Norte;RO;1100338;Nova Mamoré;Urbana;Municipal;5;4.3;
2018;Norte;RO;1100338;Nova Mamoré;Rural;Municipal;4.1;4.2;
2018;Norte;RO;1100338;Nova Mamoré;Total;Privada;4;4.3;
2018;Norte;RO;1100338;Nova Mamoré;Urbana;Privada;4;4.3;
2018;Norte;RO;1100338;Nova Mamoré;Total;Pública;4.6;4.2;4.1
2018;Norte;RO;1100338;Nova Mamoré;Urbana;Pública;5;4.3;4.2
2018;Norte;RO;1100338;Nova Mamoré;Rural;Pública;4.1;4.2;4.1
2018;Norte;RO;1100346;Alvorada D'Oeste;Total;Total;5.7;4;3.9
2018;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Total;5.9;4;3.9
2018;Norte;RO;1100346;Alvorada D'Oeste;Rural;Total;4;4;
2018;Norte;RO;1100346;Alvorada D'Oeste;Total;Estadual;;4;3.9
2018;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Estadual;;4;3.9
