NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT_FUN;1_CAT_MED;2_CAT_FUN;2_CAT_MED;3_CAT_FUN;3_CAT_MED
2021;Sudeste;SP;3502002;Analândia;Urbana;Total;97,3;100,0;0,5;0,0;2,2;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Estadual;--;100,0;--;0,0;--;0,0
2021;Sudeste;SP;3502002;Analândia;Urbana;Estadual;--;100,0;--;0,0;--;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Municipal;97,3;--;0,5;--;2,2;--
2021;Sudeste;SP;3502002;Analândia;Urbana;Municipal;97,3;--;0,5;--;2,2;--
2021;Sudeste;SP;3502002;Analândia;Total;Pública;97,3;100,0;0,5;0,0;2,2;0,0
2021;Sudeste;SP;3502002;Analândia;Urbana;Pública;97,3;100,0;0,5;0,0;2,2;0,0
2021;Sudeste;SP;3502101;Andradina;Total;Total;98,3;98,3;1,6;0,7;0,1;1,0
2021;Sudeste;SP;3502101;Andradina;Urbana;Total;98,3;98,1;1,6;0,7;0,1;1,2
2021;Sudeste;SP;3502101;Andradina;Rural;Total;100,0;99,5;0,0;0,5;0,0;0,0
2021;Sudeste;SP;3502101;Andradina;Total;Estadual;99,4;97,8;0,3;0,9;0,3;1,3
2021;Sudeste;SP;3502101;Andradina;Urbana;Estadual;99,3;97,5;0,3;1,0;0,4;1,5
2021;Sudeste;SP;3502101;Andradina;Rural;Estadual;100,0;99,5;0,0;0,5;0,0;0,0
2021;Sudeste;SP;3502101;Andradina;Total;Municipal;96,7;--;3,3;--;0,0;--
2021;Sudeste;SP;3502101;Andradina;Urbana;Municipal;96,6;--;3,4;--;0,0;--
2021;Sudeste;SP;3502101;Andradina;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3502101;Andradina;Total;Privada;99,9;100,0;0,1;0,0;0,0;0,0
2021;Sudeste;SP;3502101;Andradina;Urbana;Privada;99,9;100,0;0,1;0,0;0,0;0,0
2021;Sudeste;SP;3502101;Andradina;Total;Pública;97,8;97,8;2,0;0,9;0,2;1,3
2021;Sudeste;SP;3502101;Andradina;Urbana;Pública;97,8;97,5;2,0;1,0;0,2;1,5
2021;Sudeste;SP;3502101;Andradina;Rural;Pública;100,0;99,5;0,0;0,5;0,0;0,0
2021;Sudeste;SP;3502200;Angatuba;Total;Total;99,2;90,7;0,5;3,1;0,3;6,2
2021;Sudeste;SP;3502200;Angatuba;Urbana;Total;99,0;90,7;0,7;3,1;0,3;6,2
2021;Sudeste;SP;3502200;Angatuba;Rural;Total;99,9;--;0,1;--;0,0;--
2021;Sudeste;SP;3502200;Angatuba;Total;Estadual;99,2;90,7;0,4;3,1;0,4;6,2
2021;Sudeste;SP;3502200;Angatuba;Urbana;Estadual;99,2;90,7;0,4;3,1;0,4;6,2
2021;Sudeste;SP;3502200;Angatuba;Total;Municipal;99,2;--;0,5;--;0,3;--
2021;Sudeste;SP;3502200;Angatuba;Urbana;Municipal;98,8;--;0,8;--;0,4;--
2021;Sudeste;SP;3502200;Angatuba;Rural;Municipal;99,9;--;0,1;--;0,0;--
2021;Sudeste;SP;3502200;Angatuba;Total;Privada;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3502200;Angatuba;Urbana;Privada;100,0;--;0,0;--;0,0;--
