NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;EDU_BAS_CAT_5;EDU_BAS_CAT_6
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;7,1;50,0;28,6;14,3;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Pública;7,1;50,0;28,6;14,3;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;20,0;40,0;20,0;0,0;20,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;25,0;50,0;0,0;0,0;25,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Total;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Estadual;0,0;0,0;50,0;0,0;50,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Estadual;0,0;0,0;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Municipal;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Municipal;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Privada;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Privada;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;0,0;50,0;25,0;0,0;25,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Pública;0,0;66,7;0,0;0,0;33,3;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Pública;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Total;25,0;50,0;0,0;0,0;25,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;25,0;50,0;0,0;0,0;25,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Estadual;0,0;0,0;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Estadual;0,0;0,0;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Pública;25,0;50,0;0,0;0,0;25,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Pública;25,0;50,0;0,0;0,0;25,0;0,0
2021;Sudeste;SP;3501608;Americana;Total;Total;35,5;36,8;9,0;14,2;3,9;0,6
2021;Sudeste;SP;3501608;Americana;Urbana;Total;35,5;36,8;9,0;14,2;3,9;0,6
2021;Sudeste;SP;3501608;Americana;Total;Estadual;11,9;35,7;11,9;33,3;4,8;2,4
2021;Sudeste;SP;3501608;Americana;Urbana;Estadual;11,9;35,7;11,9;33,3;4,8;2,4
2021;Sudeste;SP;3501608;Americana;Total;Municipal;29,4;58,8;7,8;2,0;2,0;0,0
2021;Sudeste;SP;3501608;Americana;Urbana;Municipal;29,4;58,8;7,8;2,0;2,0;0,0
2021;Sudeste;SP;3501608;Americana;Total;Privada;56,5;19,4;8,1;11,3;4,7;0,0
2021;Sudeste;SP;3501608;Americana;Urbana;Privada;56,5;19,4;8,1;11,3;4,7;0,0
2021;Sudeste;SP;3501608;Americana;Total;Pública;21,5;48,4;9,7;16,1;3,2;1,1
2021;Sudeste;SP;3501608;Americana;Urbana;Pública;21,5;48,4;9,7;16,1;3,2;1,1
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;10,0;50,0;10,0;20,0;5,0;5,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;10,0;50,0;10,0;20,0;5,0;5,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Estadual;0,0;0,0;0,0;66,7;0,0;33,3
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Estadual;0,0;0,0;0,0;66,7;0,0;33,3
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Municipal;14,3;64,3;14,3;0,0;7,1;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Municipal;14,3;64,3;14,3;0,0;7,1;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;0,0;33,3;0,0;66,7;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Privada;0,0;33,3;0,0;66,7;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;11,8;52,9;11,8;11,8;5,9;5,8
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Pública;11,8;52,9;11,8;11,8;5,9;5,8
2021;Sudeste;SP;3501806;Américo de Campos;Total;Total;20,0;40,0;20,0;20,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;20,0;40,0;20,0;20,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Municipal;25,0;50,0;0,0;25,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Municipal;25,0;50,0;0,0;25,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Pública;20,0;40,0;20,0;20,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Pública;20,0;40,0;20,0;20,0;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Total;21,7;40,0;8,3;21,7;8,3;0,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Total;18,9;41,5;9,4;22,6;7,6;0,0
2021;Sudeste;SP;3501905;Amparo;Rural;Total;42,9;28,6;0,0;14,3;14,2;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Estadual;7,1;14,3;14,3;42,9;21,4;0,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Estadual;0,0;18,2;18,2;45,5;18,1;0,0
2021;Sudeste;SP;3501905;Amparo;Rural;Estadual;33,3;0,0;0,0;33,3;33,4;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Municipal;18,5;74,1;0,0;0,0;7,4;0,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Municipal;13,0;78,3;0,0;0,0;8,7;0,0
2021;Sudeste;SP;3501905;Amparo;Rural;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Privada;36,8;10,5;15,8;36,9;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Privada;36,8;10,5;15,8;36,9;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Pública;14,6;53,7;4,9;14,6;12,2;0,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Pública;8,8;58,8;5,9;14,7;11,8;0,0
2021;Sudeste;SP;3501905;Amparo;Rural;Pública;42,9;28,6;0,0;14,3;14,2;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Total;0,0;33,3;66,7;0,0;0,0;0,0
2021;Sudeste;SP;3502002;Analândia;Urbana;Total;0,0;33,3;66,7;0,0;0,0;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502002;Analândia;Urbana;Estadual;0,0;0,0;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Municipal;0,0;50,0;50,0;0,0;0,0;0,0
