NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_DEPENDENCIA;NO_CATEGORIA;ED_BAS_CAT1;ED_BAS_CAT2;ED_BAS_CAT3;ED_BAS_CAT4;ED_BAS_CAT5;ED_BAS_CAT6;ED_BAS_CAT7;ED_BAS_CAT8;ED_BAS_CAT9
2021;Sudeste;SP;3503356;Arco-Íris;Municipal;Superior;13;100,0;2.614,53;2.680,94;3.216,19;3.033,88;1.069,69;28,9;4.447,07
2021;Sudeste;SP;3503406;Arealva;Municipal;Total;62;100,0;2.224,62;2.683,14;2.739,51;2.981,17;590,66;28,9;3.789,18
2021;Sudeste;SP;3503406;Arealva;Municipal;Superior;60;100,0;2.224,62;2.704,02;2.756,41;2.981,17;593,74;29,1;3.794,63
2021;Sudeste;SP;3503406;Arealva;Municipal;Sem Superior;2;a;a;a;a;a;a;a;a
2021;Sudeste;SP;3503505;Areias;Municipal;Total;39;97,4;2.611,82;2.833,33;2.810,57;3.069,73;491,41;44,0;2.555,06
2021;Sudeste;SP;3503505;Areias;Municipal;Superior;39;97,4;2.611,82;2.833,33;2.810,57;3.069,73;491,41;44,0;2.555,06
2021;Sudeste;SP;3503604;Areiópolis;Municipal;Total;81;86,4;3.420,20;4.055,51;4.243,25;4.882,68;1.060,96;41,5;4.093,78
2021;Sudeste;SP;3503604;Areiópolis;Municipal;Superior;77;85,7;3.420,20;4.055,51;4.251,73;4.882,68;1.076,16;41,7;4.075,65
2021;Sudeste;SP;3503604;Areiópolis;Municipal;Sem Superior;4;100,0;3.351,67;4.095,39;4.101,88;4.852,09;750,63;37,0;4.434,47
2021;Sudeste;SP;3503703;Ariranha;Municipal;Total;81;100,0;2.221,31;2.976,77;2.856,17;3.281,89;576,08;32,9;3.471,12
2021;Sudeste;SP;3503703;Ariranha;Municipal;Superior;81;100,0;2.221,31;2.976,77;2.856,17;3.281,89;576,08;32,9;3.471,12
2021;Sudeste;SP;3503802;Artur Nogueira;Municipal;Total;259;99,2;2.655,53;3.218,41;3.315,74;4.006,58;893,34;29,9;4.431,07
2021;Sudeste;SP;3503802;Artur Nogueira;Municipal;Superior;251;99,2;2.720,28;3.299,85;3.336,32;4.006,60;896,83;29,9;4.467,56
2021;Sudeste;SP;3503802;Artur Nogueira;Municipal;Sem Superior;8;100,0;2.294,04;2.759,36;2.674,71;3.095,11;423,55;31,8;3.363,73
2021;Sudeste;SP;3503901;Arujá;Municipal;Total;572;99,7;3.997,83;4.002,43;4.484,37;4.668,07;966,61;30,0;5.972,32
2021;Sudeste;SP;3503901;Arujá;Municipal;Superior;564;99,6;3.998,04;4.002,15;4.467,49;4.653,69;947,42;30,0;5.949,73
2021;Sudeste;SP;3503901;Arujá;Municipal;Sem Superior;8;100,0;3.897,50;6.480,95;5.695,04;6.711,50;1.442,87;30,0;7.593,39
2021;Sudeste;SP;3503950;Aspásia;Municipal;Total;7;100,0;2.107,37;2.257,11;2.381,89;3.156,70;740,47;28,6;3.334,64
2021;Sudeste;SP;3503950;Aspásia;Municipal;Superior;7;100,0;2.107,37;2.257,11;2.381,89;3.156,70;740,47;28,6;3.334,64
2021;Sudeste;SP;3504008;Assis;Municipal;Total;616;99,7;2.284,94;2.759,05;3.217,34;3.869,37;1.196,64;32,3;3.986,52
2021;Sudeste;SP;3504008;Assis;Municipal;Superior;605;99,7;2.284,94;2.774,61;3.222,43;3.871,45;1.196,16;32,3;3.993,49
2021;Sudeste;SP;3504008;Assis;Municipal;Sem Superior;11;100,0;2.007,26;2.676,33;2.910,98;3.517,31;1.185,70;32,6;3.570,95
2021;Sudeste;SP;3504107;Atibaia;Municipal;Total;546;100,0;3.549,27;4.152,50;4.384,94;5.091,72;1.206,44;27,1;6.481,09
2021;Sudeste;SP;3504107;Atibaia;Municipal;Superior;527;100,0;3.551,71;4.147,41;4.373,48;5.065,40;1.193,80;27,0;6.469,19
2021;Sudeste;SP;3504107;Atibaia;Municipal;Sem Superior;19;100,0;3.452,19;4.398,39;4.706,56;5.750,28;1.483,50;27,7;6.807,94
2021;Sudeste;SP;3504206;Auriflama;Municipal;Total;60;98,3;2.431,02;2.645,96;2.669,46;2.983,04;576,41;30,7;3.476,09
2021;Sudeste;SP;3504206;Auriflama;Municipal;Superior;60;98,3;2.431,02;2.645,96;2.669,46;2.983,04;576,41;30,7;3.476,09
2021;Sudeste;SP;3504305;Avaí;Municipal;Total;23;100,0;2.435,18;2.709,69;2.772,13;3.237,88;392,78;30,2;3.674,69
2021;Sudeste;SP;3504305;Avaí;Municipal;Superior;23;100,0;2.435,18;2.709,69;2.772,13;3.237,88;392,78;30,2;3.674,69
2021;Sudeste;SP;3504404;Avanhandava;Municipal;Total;57;100,0;4.519,75;5.310,67;5.106,78;5.901,93;1.171,61;30,4;6.729,80
2021;Sudeste;SP;3504404;Avanhandava;Municipal;Superior;57;100,0;4.519,75;5.310,67;5.106,78;5.901,93;1.171,61;30,4;6.729,80
2021;Sudeste;SP;3504503;Avaré;Municipal;Total;316;94,9;3.289,41;3.683,20;3.889,55;4.321,75;894,78;31,0;5.017,59
2021;Sudeste;SP;3504503;Avaré;Municipal;Superior;301;97,0;3.307,56;3.683,20;3.906,67;4.343,16;891,71;31,0;5.042,42
2021;Sudeste;SP;3504503;Avaré;Municipal;Sem Superior;15;53,3;d;d;d;d;d;d;d
2021;Sudeste;SP;3504602;Bady Bassitt;Municipal;Total;150;100,0;1.964,30;2.589,10;2.740,58;3.463,85;958,48;27,6;3.971,70
2021;Sudeste;SP;3504602;Bady Bassitt;Municipal;Superior;145;100,0;1.970,26;2.595,39;2.768,07;3.463,85;956,94;27,6;4.014,35
2021;Sudeste;SP;3504602;Bady Bassitt;Municipal;Sem Superior;5;100,0;1.484,79;1.504,48;1.888,87;2.265,23;511,44;28,2;2.679,25
2021;Sudeste;SP;3504701;Balbinos;Municipal;Total;12;100,0;2.344,91;2.816,94;2.650,67;3.046,46;399,66;29,5;3.595,43
2021;Sudeste;SP;3504701;Balbinos;Municipal;Superior;11;100,0;2.078,65;2.718,03;2.628,08;3.046,46;410,60;29,4;3.570,54
