NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2021;Norte;RO;1100288;Rolim de Moura;Total;Estadual;12.9;19.3
2021;Norte;RO;1100288;Rolim de Moura;Urbana;Estadual;12.9;19.3
2021;Norte;RO;1100288;Rolim de Moura;Total;Municipal;4.1;--
2021;Norte;RO;1100288;Rolim de Moura;Urbana;Municipal;1.9;--
2021;Norte;RO;1100288;Rolim de Moura;Rural;Municipal;12.6;--
2021;Norte;RO;1100288;Rolim de Moura;Total;Privada;0.6;0
2021;Norte;RO;1100288;Rolim de Moura;Urbana;Privada;0.6;0
2021;Norte;RO;1100288;Rolim de Moura;Total;Pública;8.4;19.3
2021;Norte;RO;1100288;Rolim de Moura;Urbana;Pública;8;19.3
2021;Norte;RO;1100288;Rolim de Moura;Rural;Pública;12.6;--
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Total;6.3;14
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Total;6.3;14
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Estadual;11.9;14
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Estadual;11.9;14
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Municipal;3;--
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Municipal;3;--
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Pública;6.3;14
2021;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Pública;6.3;14
2021;Norte;RO;1100304;Vilhena;Total;Total;9.3;26.3
2021;Norte;RO;1100304;Vilhena;Urbana;Total;8.9;26.2
2021;Norte;RO;1100304;Vilhena;Rural;Total;22.5;70
2021;Norte;RO;1100304;Vilhena;Total;Federal;--;11.2
2021;Norte;RO;1100304;Vilhena;Urbana;Federal;--;11.2
2021;Norte;RO;1100304;Vilhena;Total;Estadual;14.8;31.1
2021;Norte;RO;1100304;Vilhena;Urbana;Estadual;14.4;31
2021;Norte;RO;1100304;Vilhena;Rural;Estadual;65;70
2021;Norte;RO;1100304;Vilhena;Total;Municipal;6.8;--
2021;Norte;RO;1100304;Vilhena;Urbana;Municipal;6.2;--
2021;Norte;RO;1100304;Vilhena;Rural;Municipal;18.1;--
2021;Norte;RO;1100304;Vilhena;Total;Privada;1.3;2.1
2021;Norte;RO;1100304;Vilhena;Urbana;Privada;1.3;2.1
2021;Norte;RO;1100304;Vilhena;Total;Pública;10;28.2
2021;Norte;RO;1100304;Vilhena;Urbana;Pública;9.6;28.1
2021;Norte;RO;1100304;Vilhena;Rural;Pública;22.5;70
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;Total;7.7;18.1
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Total;6.9;18.1
2021;Norte;RO;1100320;São Miguel do Guaporé;Rural;Total;9.8;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;Estadual;11.1;18.1
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Estadual;11.1;18.1
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;Municipal;6.7;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Municipal;4.3;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Rural;Municipal;9.8;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;Privada;0.8;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Privada;0.8;--
2021;Norte;RO;1100320;São Miguel do Guaporé;Total;Pública;8;18.1
2021;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Pública;7.2;18.1
2021;Norte;RO;1100320;São Miguel do Guaporé;Rural;Pública;9.8;--
2021;Norte;RO;1100338;Nova Mamoré;Total;Total;21.9;34.6
2021;Norte;RO;1100338;Nova Mamoré;Urbana;Total;19.6;34.6
2021;Norte;RO;1100338;Nova Mamoré;Rural;Total;27.5;--
2021;Norte;RO;1100338;Nova Mamoré;Total;Estadual;32.2;34.6
2021;Norte;RO;1100338;Nova Mamoré;Urbana;Estadual;26.5;34.6
2021;Norte;RO;1100338;Nova Mamoré;Rural;Estadual;73.2;--
2021;Norte;RO;1100338;Nova Mamoré;Total;Municipal;15.6;--
2021;Norte;RO;1100338;Nova Mamoré;Urbana;Municipal;13.3;--
2021;Norte;RO;1100338;Nova Mamoré;Rural;Municipal;18.4;--
2021;Norte;RO;1100338;Nova Mamoré;Total;Privada;2.7;--
2021;Norte;RO;1100338;Nova Mamoré;Urbana;Privada;2.7;--
2021;Norte;RO;1100338;Nova Mamoré;Total;Pública;22.6;34.6
2021;Norte;RO;1100338;Nova Mamoré;Urbana;Pública;20.4;34.6
2021;Norte;RO;1100338;Nova Mamoré;Rural;Pública;27.5;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;Total;11.6;19.3
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Total;10.9;19.3
2021;Norte;RO;1100346;Alvorada D'Oeste;Rural;Total;16.3;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;Estadual;9.6;19.3
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Estadual;9.6;19.3
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;Municipal;13.5;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Municipal;12.6;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Rural;Municipal;16.3;--
2021;Norte;RO;1100346;Alvorada D'Oeste;Total;Pública;11.6;19.3
2021;Norte;RO;1100346;Alvorada D'Oeste;Urbana;Pública;10.9;19.3
