NU_ANO_CENSO;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;6;0;2;127;5,5;0;1,65;8,58;13,4;24,6;26,22;23,26;2,29
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;6;1;2;127;5,5;0;1,65;8,58;13,4;24,6;26,22;23,26;2,29
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;2;0;2;69;5,42;0;4,47;7,38;14,16;29,41;21,6;20,07;2,92
2021;35;SP;São Paulo;3500907;Altair;2;1;2;69;5,42;0;4,47;7,38;14,16;29,41;21,6;20,07;2,92
2021;35;SP;São Paulo;3500907;Altair;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;3;0;2;32;5,28;0;2,81;15,6;19,19;28,39;15,6;15,6;2,81
2021;35;SP;São Paulo;3500907;Altair;3;1;2;32;5,28;0;2,81;15,6;19,19;28,39;15,6;15,6;2,81
2021;35;SP;São Paulo;3500907;Altair;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;5;0;2;101;5,37;0;3,88;10,32;15,96;29,04;19,46;18,47;2,88
2021;35;SP;São Paulo;3500907;Altair;5;1;2;101;5,37;0;3,88;10,32;15,96;29,04;19,46;18,47;2,88
2021;35;SP;São Paulo;3500907;Altair;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500907;Altair;6;0;2;101;5,37;0;3,88;10,32;15,96;29,04;19,46;18,47;2,88
2021;35;SP;São Paulo;3500907;Altair;6;1;2;101;5,37;0;3,88;10,32;15,96;29,04;19,46;18,47;2,88
2021;35;SP;São Paulo;3500907;Altair;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501004;Altinópolis;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501004;Altinópolis;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501004;Altinópolis;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501004;Altinópolis;2;0;2;180;5,35;0;2,14;7,55;16,86;32,58;26,79;12,75;1,33
2021;35;SP;São Paulo;3501004;Altinópolis;2;1;2;180;5,35;0;2,14;7,55;16,86;32,58;26,79;12,75;1,33
2021;35;SP;São Paulo;3501004;Altinópolis;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501004;Altinópolis;3;0;2;258;5,26;0;3,04;10,83;23,45;29,33;14,77;18,2;0,39
2021;35;SP;São Paulo;3501004;Altinópolis;3;1;2;231;5,27;0;2,97;11,18;23,19;28,54;14,39;19,3;0,43
2021;35;SP;São Paulo;3501004;Altinópolis;3;2;2;27;5,14;0;3,7;7,41;25,93;37,04;18,52;7,41;0
2021;35;SP;São Paulo;3501004;Altinópolis;5;0;2;438;5,3;0;2,61;9,28;20,33;30,87;20,45;15,62;0,83
2021;35;SP;São Paulo;3501004;Altinópolis;5;1;2;411;5,31;0;2,56;9,37;20,04;30,55;20,55;16,05;0,87
2021;35;SP;São Paulo;3501004;Altinópolis;5;2;2;27;5,14;0;3,7;7,41;25,93;37,04;18,52;7,41;0
2021;35;SP;São Paulo;3501004;Altinópolis;6;0;2;438;5,3;0;2,61;9,28;20,33;30,87;20,45;15,62;0,83
2021;35;SP;São Paulo;3501004;Altinópolis;6;1;2;411;5,31;0;2,56;9,37;20,04;30,55;20,55;16,05;0,87
2021;35;SP;São Paulo;3501004;Altinópolis;6;2;2;27;5,14;0;3,7;7,41;25,93;37,04;18,52;7,41;0
2021;35;SP;São Paulo;3501103;Alto Alegre;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501103;Alto Alegre;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501103;Alto Alegre;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501103;Alto Alegre;2;0;2;72;5,21;0;5,95;11,3;11,3;38,57;22,22;10,66;0
2021;35;SP;São Paulo;3501103;Alto Alegre;2;1;2;72;5,21;0;5,95;11,3;11,3;38,57;22,22;10,66;0
2021;35;SP;São Paulo;3501103;Alto Alegre;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501103;Alto Alegre;3;0;2;39;5,21;0;2,63;17,89;17,76;25,79;28,29;2,63;5
2021;35;SP;São Paulo;3501103;Alto Alegre;3;1;2;39;5,21;0;2,63;17,89;17,76;25,79;28,29;2,63;5
2021;35;SP;São Paulo;3501103;Alto Alegre;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501103;Alto Alegre;5;0;2;111;5,21;0;4,78;13,62;13,58;34,07;24,35;7,83;1,76
2021;35;SP;São Paulo;3501103;Alto Alegre;5;1;2;111;5,21;0;4,78;13,62;13,58;34,07;24,35;7,83;1,76
2021;35;SP;São Paulo;3501103;Alto Alegre;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501103;Alto Alegre;6;0;2;111;5,21;0;4,78;13,62;13,58;34,07;24,35;7,83;1,76
2021;35;SP;São Paulo;3501103;Alto Alegre;6;1;2;111;5,21;0;4,78;13,62;13,58;34,07;24,35;7,83;1,76
2021;35;SP;São Paulo;3501103;Alto Alegre;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501152;Alumínio;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501152;Alumínio;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501152;Alumínio;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501152;Alumínio;2;0;2;113;5,33;0,78;2,56;10,91;17,82;23,84;27,95;16,14;0
2021;35;SP;São Paulo;3501152;Alumínio;2;1;2;113;5,33;0,78;2,56;10,91;17,82;23,84;27,95;16,14;0
2021;35;SP;São Paulo;3501152;Alumínio;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501152;Alumínio;3;0;2;283;5,25;0;5,49;13,05;18,09;22,78;23,71;15,42;1,45
2021;35;SP;São Paulo;3501152;Alumínio;3;1;2;264;5,25;0;5,51;12,82;19,16;22,48;23,93;14,51;1,57
2021;35;SP;São Paulo;3501152;Alumínio;3;2;2;19;5,31;0;5,26;15,79;5,26;26,32;21,05;26,32;0
2021;35;SP;São Paulo;3501152;Alumínio;5;0;2;396;5,27;0,2;4,72;12,49;18,02;23,06;24,83;15,61;1,07
2021;35;SP;São Paulo;3501152;Alumínio;5;1;2;377;5,27;0,22;4,69;12,29;18,79;22,86;25,05;14,97;1,13
2021;35;SP;São Paulo;3501152;Alumínio;5;2;2;19;5,31;0;5,26;15,79;5,26;26,32;21,05;26,32;0
2021;35;SP;São Paulo;3501152;Alumínio;6;0;2;396;5,27;0,2;4,72;12,49;18,02;23,06;24,83;15,61;1,07
2021;35;SP;São Paulo;3501152;Alumínio;6;1;2;377;5,27;0,22;4,69;12,29;18,79;22,86;25,05;14,97;1,13
2021;35;SP;São Paulo;3501152;Alumínio;6;2;2;19;5,31;0;5,26;15,79;5,26;26,32;21,05;26,32;0
2021;35;SP;São Paulo;3501202;Álvares Florence;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501202;Álvares Florence;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501202;Álvares Florence;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501202;Álvares Florence;2;0;2;43;5,32;0;7,04;2,4;25,49;20,99;23,24;20,84;0
2021;35;SP;São Paulo;3501202;Álvares Florence;2;1;2;43;5,32;0;7,04;2,4;25,49;20,99;23,24;20,84;0
2021;35;SP;São Paulo;3501202;Álvares Florence;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501202;Álvares Florence;3;0;2;41;5,24;0;0;11,77;29,29;24,63;17,42;11,68;5,2
2021;35;SP;São Paulo;3501202;Álvares Florence;3;1;2;41;5,24;0;0;11,77;29,29;24,63;17,42;11,68;5,2
2021;35;SP;São Paulo;3501202;Álvares Florence;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501202;Álvares Florence;5;0;2;84;5,28;0;3,8;6,72;27,24;22,67;20,56;16,62;2,4
2021;35;SP;São Paulo;3501202;Álvares Florence;5;1;2;84;5,28;0;3,8;6,72;27,24;22,67;20,56;16,62;2,4
2021;35;SP;São Paulo;3501202;Álvares Florence;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501202;Álvares Florence;6;0;2;84;5,28;0;3,8;6,72;27,24;22,67;20,56;16,62;2,4
2021;35;SP;São Paulo;3501202;Álvares Florence;6;1;2;84;5,28;0;3,8;6,72;27,24;22,67;20,56;16,62;2,4
2021;35;SP;São Paulo;3501202;Álvares Florence;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3501301;Álvares Machado;1;0;2;0;0;;;;;;;;
