NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_0;FUN_AI_CAT_0;FUN_AF_CAT_0;FUN_01_CAT_0;FUN_02_CAT_0;FUN_03_CAT_0;FUN_04_CAT_0;FUN_05_CAT_0;FUN_06_CAT_0;FUN_07_CAT_0;FUN_08_CAT_0;FUN_09_CAT_0;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;1,6;1,6;--;0,0;1,7;1,7;5,1;0,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500907;Altair;Total;Pública;2,4;1,6;3,4;0,0;1,7;1,7;5,1;0,0;3,7;1,9;3,9;4,2;9,6;9,8;10,0;9,1;--
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;2,4;1,6;3,4;0,0;1,7;1,7;5,1;0,0;3,7;1,9;3,9;4,2;9,6;9,8;10,0;9,1;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;7,1;3,7;11,5;0,0;1,5;1,0;7,6;8,1;11,5;12,3;12,2;9,8;10,6;11,1;8,2;12,6;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;7,1;3,2;11,5;0,0;1,7;1,1;6,7;6,1;11,5;12,3;12,2;9,8;10,6;11,1;8,2;12,6;--
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;8,1;8,1;--;0,0;0,0;0,0;18,8;24,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Estadual;6,7;--;6,7;--;--;--;--;--;3,6;6,5;10,6;6,1;12,3;12,7;9,8;14,0;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;6,7;--;6,7;--;--;--;--;--;3,6;6,5;10,6;6,1;12,3;12,7;9,8;14,0;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Municipal;8,6;4,2;19,9;0,0;1,7;1,1;8,9;9,2;20,6;23,3;16,7;18,9;--;--;--;--;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;8,7;3,7;19,9;0,0;1,9;1,3;7,9;7,1;20,6;23,3;16,7;18,9;--;--;--;--;--
2021;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;8,1;8,1;--;0,0;0,0;0,0;18,8;24,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;--
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;8,2;4,2;13,3;0,0;1,7;1,1;8,9;9,2;13,1;14,6;13,7;11,6;12,3;12,7;9,8;14,0;--
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;8,2;3,7;13,3;0,0;1,9;1,3;7,9;7,1;13,1;14,6;13,7;11,6;12,3;12,7;9,8;14,0;--
2021;Sudeste;SP;3501004;Altinópolis;Rural;Pública;8,1;8,1;--;0,0;0,0;0,0;18,8;24,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;4,9;0,0;11,0;0,0;0,0;0,0;0,0;0,0;10,9;10,2;14,3;8,8;14,3;8,3;18,2;16,7;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;4,9;0,0;11,0;0,0;0,0;0,0;0,0;0,0;10,9;10,2;14,3;8,8;14,3;8,3;18,2;16,7;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;11,0;--;11,0;--;--;--;--;--;10,9;10,2;14,3;8,8;14,3;8,3;18,2;16,7;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;11,0;--;11,0;--;--;--;--;--;10,9;10,2;14,3;8,8;14,3;8,3;18,2;16,7;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;0,0;0,0;--;0,0;0,0;0,0;0,0;0,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;0,0;0,0;--;0,0;0,0;0,0;0,0;0,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;4,9;0,0;11,0;0,0;0,0;0,0;0,0;0,0;10,9;10,2;14,3;8,8;14,3;8,3;18,2;16,7;--
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;4,9;0,0;11,0;0,0;0,0;0,0;0,0;0,0;10,9;10,2;14,3;8,8;14,3;8,3;18,2;16,7;--
2021;Sudeste;SP;3501152;Alumínio;Total;Total;8,2;2,4;15,0;0,4;0,8;3,0;1,8;5,7;8,2;14,1;14,6;23,7;16,7;24,7;12,7;10,5;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;8,2;1,7;15,0;0,4;0,5;2,3;1,2;3,9;8,2;14,1;14,6;23,7;16,7;24,7;12,7;10,5;--
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;7,2;7,2;--;0,0;2,5;7,9;5,9;18,8;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501152;Alumínio;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;20,1;30,0;14,8;12,2;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;20,1;30,0;14,8;12,2;--
2021;Sudeste;SP;3501152;Alumínio;Total;Municipal;10,4;3,1;19,0;0,5;1,1;3,8;2,3;7,5;9,6;17,9;19,1;30,2;--;--;--;--;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;10,8;2,3;19,0;0,6;0,7;3,0;1,7;5,4;9,6;17,9;19,1;30,2;--;--;--;--;--
2021;Sudeste;SP;3501152;Alumínio;Rural;Municipal;7,2;7,2;--;0,0;2,5;7,9;5,9;18,8;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;0,5;0,0;1,2;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;1,6;6,8;7,4;6,6;6,6;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Privada;0,5;0,0;1,2;0,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;1,6;6,8;7,4;6,6;6,6;--
2021;Sudeste;SP;3501152;Alumínio;Total;Pública;10,4;3,1;19,0;0,5;1,1;3,8;2,3;7,5;9,6;17,9;19,1;30,2;20,1;30,0;14,8;12,2;--
2021;Sudeste;SP;3501152;Alumínio;Urbana;Pública;10,8;2,3;19,0;0,6;0,7;3,0;1,7;5,4;9,6;17,9;19,1;30,2;20,1;30,0;14,8;12,2;--
