NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;6,7;24,4;37,8;17,8;8,9;4,4;11,2;22,2;37,0;22,2;7,4;0,0;0,0;26,4;36,8;15,8;10,5;10,5;0,0;77,8;0,0;11,1;11,1;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;6,7;24,4;37,8;17,8;8,9;4,4;11,2;22,2;37,0;22,2;7,4;0,0;0,0;26,4;36,8;15,8;10,5;10,5;0,0;77,8;0,0;11,1;11,1;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,0;77,8;0,0;11,1;11,1;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0,0;77,8;0,0;11,1;11,1;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;6,7;24,4;37,8;17,8;8,9;4,4;11,2;22,2;37,0;22,2;7,4;0,0;0,0;26,4;36,8;15,8;10,5;10,5;--;--;--;--;--;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;6,7;24,4;37,8;17,8;8,9;4,4;11,2;22,2;37,0;22,2;7,4;0,0;0,0;26,4;36,8;15,8;10,5;10,5;--;--;--;--;--;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;6,7;24,4;37,8;17,8;8,9;4,4;11,2;22,2;37,0;22,2;7,4;0,0;0,0;26,4;36,8;15,8;10,5;10,5;0,0;77,8;0,0;11,1;11,1;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;6,7;24,4;37,8;17,8;8,9;4,4;11,2;22,2;37,0;22,2;7,4;0,0;0,0;26,4;36,8;15,8;10,5;10,5;0,0;77,8;0,0;11,1;11,1;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Total;20,8;14,8;28,0;30,1;5,7;0,6;39,3;20,2;16,8;19,1;4,0;0,6;0,6;8,3;38,1;42,3;10,1;0,6;1,1;4,4;34,4;46,3;11,9;1,9
