NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4
2021;Sudeste;SP;3501806;Américo de Campos;Total;Total;0,0;60,0;40,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;0,0;60,0;40,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Municipal;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Municipal;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Pública;0,0;60,0;40,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Pública;0,0;60,0;40,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Total;3,7;40,7;44,4;11,2
2021;Sudeste;SP;3501905;Amparo;Urbana;Total;2,1;36,2;48,9;12,8
2021;Sudeste;SP;3501905;Amparo;Rural;Total;14,3;71,4;14,3;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Estadual;0,0;78,6;14,3;7,1
2021;Sudeste;SP;3501905;Amparo;Urbana;Estadual;0,0;72,7;18,2;9,1
2021;Sudeste;SP;3501905;Amparo;Rural;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Municipal;3,8;26,9;65,4;3,9
2021;Sudeste;SP;3501905;Amparo;Urbana;Municipal;0,0;22,7;72,7;4,6
2021;Sudeste;SP;3501905;Amparo;Rural;Municipal;25,0;50,0;25,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Privada;7,1;28,6;35,7;28,6
2021;Sudeste;SP;3501905;Amparo;Urbana;Privada;7,1;28,6;35,7;28,6
2021;Sudeste;SP;3501905;Amparo;Total;Pública;2,5;45,0;47,5;5,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Pública;0,0;39,4;54,5;6,1
2021;Sudeste;SP;3501905;Amparo;Rural;Pública;14,3;71,4;14,3;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Total;33,3;0,0;33,3;33,4
2021;Sudeste;SP;3502002;Analândia;Urbana;Total;33,3;0,0;33,3;33,4
2021;Sudeste;SP;3502002;Analândia;Total;Estadual;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502002;Analândia;Urbana;Estadual;100,0;0,0;0,0;0,0
2021;Sudeste;SP;3502002;Analândia;Total;Municipal;0,0;0,0;50,0;50,0
2021;Sudeste;SP;3502002;Analândia;Urbana;Municipal;0,0;0,0;50,0;50,0
2021;Sudeste;SP;3502002;Analândia;Total;Pública;33,3;0,0;33,3;33,4
