NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0
2021;Sudeste;SP;3502101;Andradina;Total;Pública;13,9;24,6;31,6
2021;Sudeste;SP;3502101;Andradina;Urbana;Pública;13,9;24,9;33,3
2021;Sudeste;SP;3502101;Andradina;Rural;Pública;13,0;13,0;23,9
2021;Sudeste;SP;3502200;Angatuba;Total;Total;15,0;21,7;35,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Total;15,8;22,0;35,0
2021;Sudeste;SP;3502200;Angatuba;Rural;Total;12,6;20,8;--
2021;Sudeste;SP;3502200;Angatuba;Total;Estadual;--;26,8;35,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Estadual;--;26,8;35,0
2021;Sudeste;SP;3502200;Angatuba;Total;Municipal;15,3;21,8;--
2021;Sudeste;SP;3502200;Angatuba;Urbana;Municipal;16,1;22,4;--
2021;Sudeste;SP;3502200;Angatuba;Rural;Municipal;12,6;20,8;--
2021;Sudeste;SP;3502200;Angatuba;Total;Privada;9,0;9,3;--
2021;Sudeste;SP;3502200;Angatuba;Urbana;Privada;9,0;9,3;--
2021;Sudeste;SP;3502200;Angatuba;Total;Pública;15,3;22,5;35,0
2021;Sudeste;SP;3502200;Angatuba;Urbana;Pública;16,1;23,4;35,0
2021;Sudeste;SP;3502200;Angatuba;Rural;Pública;12,6;20,8;--
2021;Sudeste;SP;3502309;Anhembi;Total;Total;14,2;20,3;25,1
2021;Sudeste;SP;3502309;Anhembi;Urbana;Total;14,2;20,3;25,1
2021;Sudeste;SP;3502309;Anhembi;Total;Estadual;--;--;25,1
2021;Sudeste;SP;3502309;Anhembi;Urbana;Estadual;--;--;25,1
2021;Sudeste;SP;3502309;Anhembi;Total;Municipal;14,2;20,3;--
2021;Sudeste;SP;3502309;Anhembi;Urbana;Municipal;14,2;20,3;--
2021;Sudeste;SP;3502309;Anhembi;Total;Pública;14,2;20,3;25,1
2021;Sudeste;SP;3502309;Anhembi;Urbana;Pública;14,2;20,3;25,1
2021;Sudeste;SP;3502408;Anhumas;Total;Total;20,1;23,7;24,8
2021;Sudeste;SP;3502408;Anhumas;Urbana;Total;20,1;23,7;24,8
2021;Sudeste;SP;3502408;Anhumas;Total;Estadual;--;23,8;24,8
2021;Sudeste;SP;3502408;Anhumas;Urbana;Estadual;--;23,8;24,8
2021;Sudeste;SP;3502408;Anhumas;Total;Municipal;20,1;23,7;--
2021;Sudeste;SP;3502408;Anhumas;Urbana;Municipal;20,1;23,7;--
2021;Sudeste;SP;3502408;Anhumas;Total;Pública;20,1;23,7;24,8
